"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","69100","KBO-69100","LG 트윈스","구본혁","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69100","0.257","133","389","339","48","87","14","2","2","111","43","8","4","38","4","51","7","0.327","0.335","10","0.662"
"2024","69102","KBO-69102","LG 트윈스","문보경","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69102","0.301","144","602","519","80","156","35","3","22","263","101","7","6","65","2","112","14","0.507","0.372","13","0.879"
"2024","69105","KBO-69105","LG 트윈스","김성진","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69105","0.267","14","16","15","1","4","0","0","1","7","2","0","0","1","0","4","1","0.467","0.313","0","0.780"
"2024","69203","KBO-69203","NC 다이노스","송승환","OF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69203","0.200","3","5","5","1","1","0","0","0","1","0","0","0","0","0","1","0","0.200","0.200","0","0.400"
"2024","69207","KBO-69207","삼성 라이온즈","김태근","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69207","0.087","43","27","23","7","2","0","0","0","2","1","0","1","0","3","10","0","0.087","0.192","0","0.279"
"2024","69238","KBO-69238","두산 베어스","김대한","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69238","0.133","61","89","75","10","10","1","0","1","14","7","1","1","8","2","26","1","0.187","0.230","1","0.417"
"2024","69332","KBO-69332","키움 히어로즈","주성원","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69332","0.200","27","62","55","7","11","1","0","1","15","5","0","0","6","0","18","2","0.273","0.279","2","0.552"
"2024","69403","KBO-69403","삼성 라이온즈","양우현","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69403","0.000","7","15","13","0","0","0","0","0","0","1","0","0","1","0","6","1","0.000","0.071","0","0.071"
"2024","69416","KBO-69416","삼성 라이온즈","이해승","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69416","","","","","","","","","","","","","","","","","","","","",""
"2024","69418","KBO-69418","삼성 라이온즈","박승규","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69418","","","","","","","","","","","","","","","","","","","","",""
