ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
,37,,,,,,,,,,20,1,5,1,12,11,,2025,두산,,,50204,박지훈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204,0.417,55,48,4,0,27,8,1,0,1,0.563,0.481,2
,52,,,,,,,,,,39,1,12,2,31,25,,2020,두산,,,50204,박지훈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204,0.220,193,177,8,1,52,22,6,1,7,0.294,0.275,17
,62,,,,,,,,,,59,1,18,4,26,38,,2021,두산,,,50204,박지훈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204,0.284,232,208,7,0,69,9,24,4,6,0.332,0.351,7
,20,,,,,,,,,,26,1,7,0,9,13,,2023,두산,,,50204,박지훈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204,0.377,78,69,2,2,35,6,5,3,2,0.507,0.429,4
,22,,,,,,,,,,26,0,5,2,7,14,,2024,두산,,,50204,박지훈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204,0.306,94,85,4,0,30,10,4,7,1,0.353,0.351,1
,46,,,,,,,,,,39,2,16,0,20,25,,2025,두산,,,50204,박지훈,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50204,0.293,156,133,2,1,49,16,7,4,3,0.368,0.364,3
3.72,11,0,0,1,0,1,2,1.000,42,9 2/3,8,2,5,0,8,4,4,2024,두산,29,9.666667,50206,최종인,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50206,,,,,,,,,,,,,
5.40,3,0,0,0,0,0,0,-,9,1 2/3,1,0,3,0,5,1,1,2025,두산,5,1.666667,50206,최종인,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50206,,,,,,,,,,,,,
7.59,10,0,0,0,1,0,0,0.000,50,10 2/3,12,1,5,2,4,10,9,2020,두산,32,10.666667,50206,최종인,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206,,,,,,,,,,,,,
3.38,16,0,0,3,1,0,2,0.750,117,26 2/3,25,1,14,2,15,12,10,2021,두산,80,26.666667,50206,최종인,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206,,,,,,,,,,,,,
3.61,21,0,0,3,4,0,1,0.429,287,62 1/3,59,1,46,4,43,33,25,2023,두산,187,62.333333,50206,최종인,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206,,,,,,,,,,,,,
4.54,30,0,0,2,3,3,4,0.400,185,39 2/3,38,2,32,1,33,26,20,2024,두산,119,39.666667,50206,최종인,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206,,,,,,,,,,,,,
9.45,19,0,0,1,2,0,1,0.333,116,20,35,4,19,2,18,29,21,2025,두산,60,20.0,50206,최종인,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50206,,,,,,,,,,,,,
,5,,,,,,,,,,0,0,0,0,1,0,,2020,두산,,,50208,오명진,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208,0.000,4,4,0,0,0,0,0,0,0,0.000,0.000,0
,2,,,,,,,,,,0,0,0,0,1,1,,2021,두산,,,50208,오명진,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208,0.000,3,3,0,0,0,0,0,0,0,0.000,0.000,0
,2,,,,,,,,,,0,0,1,0,1,0,,2024,두산,,,50208,오명진,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208,0.000,2,1,0,0,0,1,0,0,0,0.000,0.500,0
,107,,,,,,,,,,87,4,27,3,94,38,,2025,두산,,,50208,오명진,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50208,0.263,371,331,14,4,121,41,5,3,3,0.366,0.321,10
,72,,,,,,,,,,79,0,39,0,50,45,,2020,두산,,,50208,오명진,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208,0.285,318,277,13,1,94,26,5,9,7,0.339,0.371,4
,71,,,,,,,,,,64,4,28,2,42,38,,2021,두산,,,50208,오명진,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208,0.260,278,246,9,5,95,28,12,9,2,0.386,0.338,10
,16,,,,,,,,,,8,1,6,0,6,6,,2022,두산,,,50208,오명진,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208,0.267,37,30,1,0,12,4,1,1,1,0.400,0.378,0
,85,,,,,,,,,,88,4,41,5,53,43,,2024,두산,,,50208,오명진,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208,0.318,325,277,14,9,132,43,5,1,5,0.477,0.414,14
,8,,,,,,,,,,4,0,3,0,6,2,,2025,두산,,,50208,오명진,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50208,0.200,23,20,0,0,4,1,0,0,1,0.200,0.304,0
13.50,1,0,0,0,0,0,0,-,14,2,3,0,4,0,2,4,3,2023,두산,6,2.0,50211,제환유,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50211,,,,,,,,,,,,,
4.96,6,0,0,0,1,0,0,0.000,78,16 1/3,17,2,12,1,8,10,9,2025,두산,49,16.333333,50211,제환유,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50211,,,,,,,,,,,,,
6.65,16,0,0,3,2,0,3,0.600,114,23,40,1,10,0,9,18,17,2020,두산,69,23.0,50211,제환유,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50211,,,,,,,,,,,,,
8.70,16,0,0,2,3,0,0,0.400,200,40 1/3,59,5,24,4,25,41,39,2023,두산,121,40.333333,50211,제환유,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50211,,,,,,,,,,,,,
6.30,2,0,0,0,0,0,0,-,47,10,11,1,5,2,4,7,7,2024,두산,30,10.0,50211,제환유,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50211,,,,,,,,,,,,,
3.11,13,0,0,3,2,0,0,0.600,270,63 2/3,59,3,27,4,54,25,22,2025,두산,191,63.666667,50211,제환유,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50211,,,,,,,,,,,,,
,1,,,,,,,,,,0,0,0,0,1,1,,2020,키움,,,50304,김병휘,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304,0.000,1,1,0,0,0,0,0,0,0,0.000,0.000,0
,13,,,,,,,,,,2,0,1,0,2,5,,2021,키움,,,50304,김병휘,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304,0.200,11,10,0,0,2,0,0,0,0,0.200,0.273,1
,10,,,,,,,,,,3,0,0,0,8,0,,2023,키움,,,50304,김병휘,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304,0.143,21,21,1,0,4,1,0,0,0,0.190,0.143,1
,28,,,,,,,,,,10,1,6,5,26,6,,2024,키움,,,50304,김병휘,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304,0.169,71,59,3,0,16,3,0,0,0,0.271,0.300,2
,7,,,,,,,,,,1,0,2,0,1,2,,2025,키움,,,50304,김병휘,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50304,0.250,6,4,0,0,1,0,0,0,0,0.250,0.500,0
,52,,,,,,,,,,26,3,27,4,56,22,,2020,고양,,,50304,김병휘,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50304,0.188,169,138,6,0,41,10,1,2,2,0.297,0.337,9
,46,,,,,,,,,,24,1,20,7,31,16,,2021,고양,,,50304,김병휘,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50304,0.216,138,111,3,1,32,9,1,0,5,0.288,0.370,15
