"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","source_level","level_adjustment","PA","AB","SBA","OOB","PKO","contact","power","plate_discipline","bat_control","timing","bunt","speed","baserunning_judgment","contact_percentile","power_percentile","plate_discipline_percentile","bat_control_percentile","timing_percentile","speed_percentile","baserunning_judgment_percentile","adjusted_avg","adjusted_iso","adjusted_hr_rate","adjusted_bb_rate","adjusted_k_rate","adjusted_sba_rate","adjusted_sb_pct","adjusted_oob_rate","adjusted_pko_rate","batting_confidence","running_confidence","timing_source","timing_split_ab","fielding_range","catching","throwing_power","throwing_accuracy","fielding_judgment","composure","leadership","aggressiveness","formula_version"
"2025","64012","KBO-64012","KT 위즈","송민섭","OF","FUTURES","-2","28","24","0","","","8","8","8","8","8","1","8","8","0.4965","0.4844","0.5008","0.4380","0.4731","0.4851","0.5000","0.2907","0.1409","0.0171","0.1167","0.1891","0.0698","0.6957","","","very_low","very_low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","55013","KBO-55013","KT 위즈","스티븐슨","OF","KBO","0","168","149","2","5","1","11","11","10","9","10","4","9","10","0.5959","0.6303","0.4702","0.3157","0.5140","0.3530","0.4234","0.2619","0.1351","0.0190","0.0864","0.2336","0.0587","0.7906","0.0609","0.0116","medium","low","kbo_pitcher_type_splits","149","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","67006","KBO-67006","KT 위즈","안치영","OF","KBO","0","56","44","2","0","0","10","10","10","10","10","8","10","10","0.4779","0.5040","0.4589","0.4716","0.4823","0.5337","0.4790","0.2515","0.1156","0.0199","0.0843","0.2091","0.0925","0.6240","0.0202","0.0031","low","very_low","kbo_pitcher_type_splits","44","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KBO","0","482","395","8","3","2","14","14","15","13","13","1","10","11","0.8920","0.8853","0.9097","0.8310","0.7535","0.4343","0.6336","0.3196","0.2134","0.0414","0.1446","0.1574","0.0496","0.8049","0.0178","0.0090","high","medium","kbo_pitcher_type_splits","395","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","55005","KBO-55005","KT 위즈","오서진","IF","FUTURES","-2","170","155","4","","","9","7","6","10","10","1","8","9","0.6149","0.3572","0.1909","0.7267","0.6596","0.5486","0.5509","0.3022","0.1273","0.0155","0.0776","0.1452","0.0772","0.7112","","","medium","low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64504","KBO-64504","KT 위즈","오윤석","IF","KBO","0","184","156","0","3","0","10","9","9","10","10","12","10","10","0.5483","0.2597","0.2844","0.4122","0.5052","0.4054","0.4556","0.2586","0.0884","0.0074","0.0744","0.2134","0.0377","0.7488","0.0398","0.0019","medium","low","kbo_pitcher_type_splits","156","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","75334","KBO-75334","KT 위즈","오재일","IF","FUTURES","-2","65","57","0","","","7","7","8","8","7","1","8","8","0.3337","0.3485","0.4785","0.3868","0.3549","0.4340","0.5000","0.2487","0.1049","0.0133","0.1148","0.1891","0.0626","0.6957","","","low","very_low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","51013","KBO-51013","KT 위즈","유준규","OF","KBO","0","41","34","3","1","0","10","10","11","10","10","1","10","10","0.3923","0.4547","0.6183","0.4166","0.4286","0.5388","0.4493","0.2255","0.1093","0.0149","0.1145","0.2313","0.1165","0.7298","0.0383","0.0034","low","very_low","kbo_pitcher_type_splits","34","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KBO","0","18","17","1","0","0","10","10","10","10","10","4","10","10","0.4478","0.4964","0.4597","0.4895","0.4730","0.5045","0.5129","0.2326","0.1166","0.0178","0.0775","0.2086","0.1001","0.7716","0.0262","0.0040","very_low","very_low","kbo_pitcher_type_splits","17","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","67644","KBO-67644","KT 위즈","이정훈","OF","KBO","0","148","132","1","0","0","11","11","10","8","10","1","9","11","0.5711","0.6037","0.5221","0.2174","0.4682","0.3475","0.5611","0.2595","0.1235","0.0246","0.0893","0.2726","0.0532","0.6807","0.0139","0.0021","medium","low","kbo_pitcher_type_splits","132","","","","","","","","","kbo-hitter-abilities-v2-compressed"
