"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"김대현","now","66145","김대현","LG","LG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=66145","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대현","now","54511","김대현","LT","롯데","외야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=54511","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대현","retire","51006","김대현","KT","KT","내야수","우투우타","/Record/Retire/Hitter.aspx?playerId=51006","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대현","retire","86993","김대현","HT","해태","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=86993","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대호","now","54401","김대호","SM","상무","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=54401","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도규","now","68585","김도규","UL","울산","투수","우투우타","/Futures/Player/PitcherDetail.aspx?playerId=68585","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도빈","now","54705","김도빈","HH","한화","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=54705","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도영","now","52605","김도영","HT","KIA","내야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=52605","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도영","retire","66098","김도영","KT","KT","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=66098","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도현","now","69745","김도현","HT","KIA","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=69745","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
