"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS","SAC","SF","PA_OTHER","SAC_SF_CANDIDATES","SAC_SF_SOURCE","SAC_SF_CONFIDENCE","ISO","K_RATE","BB_RATE","BB_K","XBH","XBH_RATE","HR_RATE","basic_source_url"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52002","0.200","9","5","5","2","1","0","0","0","1","0","0","0","0","0","2","0","0.200","0.200","0","0.400","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.4000","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52103","KBO-52103","LG 트윈스","최원영","OF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52103","0.282","119","115","103","37","29","5","0","0","34","2","8","4","4","4","20","4","0.330","0.330","1","0.660","3","1","0","1","kbo_basic_leaderboard","official","0.048","0.1739","0.0348","0.200","5","0.0435","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52105","KBO-52105","LG 트윈스","김성우","C","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52105","0.200","7","5","5","0","1","0","0","0","1","1","0","0","0","0","1","0","0.200","0.200","0","0.400","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.2000","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52121","0.167","21","33","30","5","5","0","0","2","11","4","0","0","1","2","11","0","0.367","0.242","0","0.609","0","0","0","0","kbo_basic_leaderboard","official","0.200","0.3333","0.0303","0.091","2","0.0606","0.0606","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52154","KBO-52154","LG 트윈스","이주헌","C","LG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52154","0.219","76","156","128","22","28","3","0","4","43","9","0","0","18","8","30","2","0.336","0.351","4","0.687","2","0","0","0","kbo_basic_leaderboard","official","0.117","0.1923","0.1154","0.600","7","0.0449","0.0256","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52208","KBO-52208","두산 베어스","천현재","OF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52208","0.000","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0.000","0.000","0","0.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.0000","0.0000","","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52267","KBO-52267","두산 베어스","김동준","IF","두산","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52267","0.237","36","100","93","8","22","3","0","2","31","10","1","1","5","1","30","2","0.333","0.283","1","0.616","1","0","0","0","kbo_basic_leaderboard","official","0.096","0.3000","0.0500","0.167","5","0.0500","0.0200","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52305","KBO-52305","키움 히어로즈","박수종","OF","키움","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52305","0.143","38","45","42","6","6","0","0","1","9","2","1","0","3","0","12","0","0.214","0.200","1","0.414","0","0","0","0","kbo_basic_leaderboard","official","0.071","0.2667","0.0667","0.250","1","0.0222","0.0222","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52415","KBO-52415","삼성 라이온즈","이재현","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52415","0.254","139","555","457","82","116","29","1","16","195","67","6","1","69","11","119","8","0.427","0.360","23","0.787","10","8","0","8","kbo_basic_leaderboard","official","0.173","0.2144","0.1243","0.580","46","0.0829","0.0288","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52424","KBO-52424","삼성 라이온즈","김재혁","OF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52424","0.000","8","4","3","2","0","0","0","0","0","0","0","0","1","0","2","0","0.000","0.250","0","0.250","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.5000","0.2500","0.500","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52430","KBO-52430","삼성 라이온즈","김영웅","IF","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52430","0.249","125","499","446","66","111","22","2","22","203","72","6","2","48","2","143","6","0.455","0.323","11","0.778","0","3","0","3","kbo_basic_leaderboard","official","0.206","0.2866","0.0962","0.336","46","0.0922","0.0441","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52504","KBO-52504","롯데 자이언츠","김동혁","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52504","0.225","93","114","89","19","20","4","1","0","26","6","13","4","18","3","26","3","0.292","0.373","0","0.665","4","0","0","0","kbo_basic_leaderboard","official","0.067","0.2281","0.1579","0.692","5","0.0439","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52514","KBO-52514","롯데 자이언츠","김세민","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52514","","","","","","","","","","","","","","","","","","","","","","","","","","","unavailable","","","","","","","","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52516","KBO-52516","롯데 자이언츠","조세진","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52516","0.143","12","9","7","1","1","0","0","0","1","0","0","0","2","0","4","0","0.143","0.333","0","0.476","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.4444","0.2222","0.500","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
