"snapshot_date","kbo_player_id","player_uid","team","name","profile_name","position_group","position_name","birth_date","age","bats_throws","height_cm","weight_kg","career","is_rookie","is_foreign","membership_source","last_movement_date","last_movement_type","source_note","source_url"
"2025-10-31","53312","KBO-53312","키움 히어로즈","김건희","김건희","C","포수","2004-11-07","20","우투우타","186","96","대전신흥초-온양중-원주고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=53312"
"2025-10-31","53344","KBO-53344","키움 히어로즈","김동헌","김동헌","C","포수","2004-07-15","21","우투우타","182","91","영문초(영등포구리틀)-충암중-충암고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=53344"
"2025-10-31","62332","KBO-62332","키움 히어로즈","김재현","김재현","C","포수","1993-03-18","32","우투우타","178","90","진북초-전라중-대전고-히어로즈-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=62332"
"2025-10-31","53305","KBO-53305","키움 히어로즈","박성빈","박성빈","C","포수","2004-04-21","21","우투우타","177","94","한밭초(계룡시리틀)-충남중-대전고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=53305"
"2025-10-31","54344","KBO-54344","키움 히어로즈","고영우","고영우","IF","내야수","2001-06-21","24","우투우타","173","80","부산대연초(사상구리틀)-대동중-경남고-성균관대-키움-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54344"
"2025-10-31","55371","KBO-55371","키움 히어로즈","권혁빈","권혁빈","IF","내야수","2005-11-04","19","우투우타","185","75","칠성초-경상중-대구고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55371"
"2025-10-31","50304","KBO-50304","키움 히어로즈","김병휘","김병휘","IF","내야수","2001-02-16","24","우투우타","177","79","효제초-홍은중-장충고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50304"
"2025-10-31","65898","KBO-65898","키움 히어로즈","김웅빈","김웅빈","IF","내야수","1996-02-09","29","우투좌타","182","97","서라벌초-울산제일중-울산공고-히어로즈-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=65898"
"2025-10-31","64984","KBO-64984","키움 히어로즈","김태진","김태진","IF","내야수","1995-10-07","30","우투좌타","169","73","수유초-신일중-신일고-NC-경찰-NC-KIA","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=64984"
"2025-10-31","53309","KBO-53309","키움 히어로즈","서유신","서유신","IF","내야수","2000-08-17","25","우투우타","176","76","광주수창초-충장중-화순고-원광대","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=53309"
"2025-10-31","65357","KBO-65357","키움 히어로즈","송성문","송성문","IF","내야수","1996-08-29","29","우투좌타","183","88","봉천초(용산구리틀)-홍은중-장충고-히어로즈-키움-상무-키움","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=65357"
"2025-10-31","54394","KBO-54394","키움 히어로즈","송지후","송지후","IF","내야수","2005-01-08","20","우투우타","175","74","광주수창초-진흥중-광주제일고","0","0","movement","2025-05-01","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54394"
"2025-10-31","55370","KBO-55370","키움 히어로즈","양현종","양현종","IF","내야수","2006-08-15","19","우투우타","177","84","대구옥산초-협성경복중-대구고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55370"
"2025-10-31","55392","KBO-55392","키움 히어로즈","어준서","어준서","IF","내야수","2006-11-27","18","우투좌타","183","87","수유초-자양중-경기고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55392"
