"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","G","SBA","SB","CS","SB_PCT","OOB","PKO","source_url"
"2025","53554","KBO-53554","두산 베어스","김민석","OF","두산","1","95","5","3","2","60.0","3","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53659","KBO-53659","KIA 타이거즈","정해원","IF","KIA","1","24","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53764","KBO-53764","한화 이글스","문현빈","IF","한화","1","141","23","17","6","73.9","4","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53827","KBO-53827","SSG 랜더스","에레디아","OF","SSG","1","96","3","1","2","33.3","5","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54097","KBO-54097","KT 위즈","김민석","C","KT","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54156","KBO-54156","LG 트윈스","손용준","IF","LG","1","9","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54166","KBO-54166","LG 트윈스","김현종","OF","LG","1","10","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54205","KBO-54205","두산 베어스","여동건","IF","두산","1","19","1","0","1","0.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54214","KBO-54214","두산 베어스","전다민","OF","두산","1","22","3","3","0","100","0","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54219","KBO-54219","두산 베어스","류현준","C","두산","1","17","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54236","KBO-54236","두산 베어스","임종성","IF","두산","1","33","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54305","KBO-54305","키움 히어로즈","이재상","IF","키움","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54307","KBO-54307","키움 히어로즈","원성준","OF","키움","1","24","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54344","KBO-54344","키움 히어로즈","고영우","IF","키움","1","14","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54394","KBO-54394","키움 히어로즈","송지후","IF","키움","1","33","1","0","1","0.0","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54400","KBO-54400","삼성 라이온즈","디아즈","IF","삼성","1","144","1","1","0","100","5","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54408","KBO-54408","삼성 라이온즈","양도근","IF","삼성","1","116","6","5","1","83.3","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54444","KBO-54444","키움 히어로즈","카디네스","OF","키움","1","86","3","1","2","33.3","4","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54506","KBO-54506","롯데 자이언츠","강승구","C","롯데","1","1","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54507","KBO-54507","롯데 자이언츠","백두산","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54529","KBO-54529","롯데 자이언츠","레이예스","OF","롯데","1","144","8","7","1","87.5","6","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54598","KBO-54598","롯데 자이언츠","이호준","IF","롯데","1","99","1","1","0","100","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54706","KBO-54706","한화 이글스","이승현","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54795","KBO-54795","한화 이글스","황영묵","IF","한화","1","117","4","1","3","25.0","3","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54805","KBO-54805","SSG 랜더스","박지환","IF","SSG","1","31","1","0","1","0.0","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
