"snapshot_date","team","roster_date","kbo_player_id","name","position_group","uniform_number","source_url"
"2025-10-31","SSG 랜더스","2025-10-04","50868","류효승","OF","45","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","54806","이승민","OF","9","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","52807","임근우","OF","68","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","69804","채현우","OF","15","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","50854","최지훈","OF","54","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","51867","김건우","P","39","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","77829","김광현","P","29","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","68043","김민","P","41","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","50848","김성민","P","56","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","65343","김택형","P","43","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","54802","박기호","P","66","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","50812","박시후","P","57","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","53898","송영진","P","28","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","55860","신지환","P","60","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","53892","이로운","P","92","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","52809","전영준","P","65","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","66858","정동윤","P","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","51897","조병현","P","19","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","68856","최민준","P","30","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","SSG 랜더스","2025-10-04","68092","한두솔","P","34","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","66112","김기연","C","45","https://www.koreabaseball.com/Player/RegisterAll.aspx"
