"season","game_date","game_id","start_time","away_team","away_score","home_team","home_score","stadium","source_url"
"2025","2025-08-10","20250810OBWO0","14:00","두산","3","키움","4","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250810&gameId=20250810OBWO0&section=REVIEW"
"2025","2025-08-10","20250810SKLT0","18:00","SSG","10","롯데","1","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250810&gameId=20250810SKLT0&section=REVIEW"
"2025","2025-08-10","20250810SSKT0","18:00","삼성","2","KT","9","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250810&gameId=20250810SSKT0&section=REVIEW"
"2025","2025-08-12","20250812HTSS0","18:30","KIA","5","삼성","1","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250812&gameId=20250812HTSS0&section=REVIEW"
"2025","2025-08-12","20250812LGKT0","18:30","LG","11","KT","2","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250812&gameId=20250812LGKT0&section=REVIEW"
"2025","2025-08-12","20250812LTHH0","18:30","롯데","0","한화","2","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250812&gameId=20250812LTHH0&section=REVIEW"
"2025","2025-08-12","20250812NCOB0","18:30","NC","3","두산","2","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250812&gameId=20250812NCOB0&section=REVIEW"
"2025","2025-08-12","20250812WOSK0","18:30","키움","1","SSG","3","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250812&gameId=20250812WOSK0&section=REVIEW"
"2025","2025-08-13","20250813HTSS0","18:30","KIA","9","삼성","1","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250813&gameId=20250813HTSS0&section=REVIEW"
"2025","2025-08-13","20250813LTHH0","18:30","롯데","0","한화","6","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250813&gameId=20250813LTHH0&section=REVIEW"
