"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","62332","KBO-62332","키움 히어로즈","김재현","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62332","","","","","","","","","","","","","","","","","","","","",""
"2024","62404","KBO-62404","삼성 라이온즈","구자욱","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62404","","","","","","","","","","","","","","","","","","","","",""
"2024","62415","KBO-62415","LG 트윈스","박해민","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62415","","","","","","","","","","","","","","","","","","","","",""
"2024","62558","KBO-62558","LG 트윈스","김준태","C","KT","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62558","0.253","40","116","99","10","25","5","0","3","39","14","0","0","17","0","21","2","0.394","0.362","1","0.756"
"2024","62700","KBO-62700","한화 이글스","하주석","IF","한화","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62700","0.579","5","20","19","2","11","1","0","0","12","5","0","0","1","0","2","0","0.632","0.600","0","1.232"
"2024","62802","KBO-62802","롯데 자이언츠","박승욱","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62802","","","","","","","","","","","","","","","","","","","","",""
"2024","62864","KBO-62864","SSG 랜더스","김민식","C","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62864","0.316","19","48","38","8","12","2","2","0","18","3","0","0","10","0","8","0","0.474","0.458","1","0.932"
"2024","62884","KBO-62884","롯데 자이언츠","최항","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62884","0.357","7","30","28","3","10","3","0","0","13","0","0","0","2","0","8","1","0.464","0.400","0","0.864"
"2024","62895","KBO-62895","SSG 랜더스","한유섬","OF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62895","0.333","2","6","6","0","2","0","0","0","2","1","0","0","0","0","2","0","0.333","0.333","0","0.666"
"2024","62907","KBO-62907","NC 다이노스","박민우","IF","NC","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62907","0.600","2","5","5","2","3","1","0","1","7","2","0","0","0","0","0","0","1.400","0.600","0","2.000"
"2024","62931","KBO-62931","롯데 자이언츠","노진혁","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62931","0.293","19","64","58","8","17","4","0","5","36","14","0","0","6","0","11","0","0.621","0.359","2","0.980"
"2024","62934","KBO-62934","SSG 랜더스","김성욱","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62934","","","","","","","","","","","","","","","","","","","","",""
"2024","62947","KBO-62947","KIA 타이거즈","나성범","OF","KIA","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62947","0.333","1","3","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0.333","0.333","0","0.666"
"2024","63123","KBO-63123","두산 베어스","강승호","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63123","","","","","","","","","","","","","","","","","","","","",""
"2024","63202","KBO-63202","두산 베어스","장승현","C","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63202","0.211","7","22","19","5","4","0","0","0","4","1","0","0","2","1","3","1","0.211","0.318","1","0.529"
"2024","63257","KBO-63257","두산 베어스","김인태","OF","두산","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63257","0.375","8","32","24","8","9","2","1","0","13","7","0","0","3","4","1","0","0.542","0.500","0","1.042"
