"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","defense_position","G","GS","IP","E","PKO","PO","A","DP","FPCT","PB","SB","CS","CS_PCT","source_url"
"2025","76290","KBO-76290","LG 트윈스","김현수","OF","LG","좌익수","76","74","560 2/3","2","0","115","3","0","0.983","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","54166","KBO-54166","LG 트윈스","김현종","OF","LG","우익수","1","0","3","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","54166","KBO-54166","LG 트윈스","김현종","OF","LG","좌익수","9","1","14","0","0","1","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69102","KBO-69102","LG 트윈스","문보경","IF","LG","1루수","37","18","190 1/3","2","0","191","10","28","0.990","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69102","KBO-69102","LG 트윈스","문보경","IF","LG","3루수","95","91","753 2/3","14","0","48","153","13","0.935","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68119","KBO-68119","LG 트윈스","문성주","OF","LG","우익수","80","76","644 1/3","1","0","144","4","0","0.993","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68119","KBO-68119","LG 트윈스","문성주","OF","LG","좌익수","32","26","226","0","0","57","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","1루수","6","2","18","0","0","18","2","2","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","3루수","9","2","26","0","0","0","4","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","우익수","2","1","8","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","좌익수","2","2","7","0","0","4","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
